gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
CEP250,-0.06181030653251093,7.976223772669311e-05,-0.06181030653251093,4.098202670409511,True,False,False,True,False,True,False,False,sig.neg
IGFLR1,-0.01698995008712672,0.04354809870688059,-0.01698995008712672,1.3610308013712504,True,False,False,True,False,True,False,False,sig.neg
CAPNS1,0.11795820994969354,3.8669342329353046e-11,0.11795820994969354,10.412633214147823,True,False,True,False,True,False,False,False,sig.pos
HCST,-0.02718587043216193,0.012575678336136977,-0.02718587043216193,1.9004685796560767,True,False,False,True,False,True,False,False,sig.neg
CCR7,0.018658290187830526,0.0037200917481483627,0.018658290187830526,2.429446349036597,True,False,True,False,True,False,False,False,sig.pos
NR1D1,-0.031418760849108246,0.20512016732627358,-0.031418760849108246,0.6879916378864733,False,True,False,True,False,False,False,True,insig.neg
ASL,0.031914429810558115,0.018494859368414482,0.031914429810558115,1.7329489666331923,True,False,True,False,True,False,False,False,sig.pos
DACH2,0.05489388869376993,0.0006070120941628033,0.05489388869376993,3.216802655916763,True,False,True,False,True,False,False,False,sig.pos
CFP,0.04978437205162638,0.00014791760484912788,0.04978437205162638,3.82998013409083,True,False,True,False,True,False,False,False,sig.pos
PLEKHG3,0.039510620107702836,8.190278854292291e-05,0.039510620107702836,4.086701311570626,True,False,True,False,True,False,False,False,sig.pos
SLC10A3,0.00997630438606589,0.000564440117258612,0.00997630438606589,3.2483821265887114,True,False,True,False,True,False,False,False,sig.pos
IPPK,-0.03579306971652966,0.05286260182740406,-0.03579306971652966,1.2768514652777772,False,True,False,True,False,False,False,True,insig.neg
FGD3,0.12633467583393237,5.64615494151738e-13,0.12633467583393237,12.248247208136899,True,False,True,False,True,False,False,False,sig.pos
PTPRB,0.20190072527075248,1.2470059297355097e-20,0.20190072527075248,19.90413148136886,True,False,True,False,True,False,False,False,sig.pos
PLA2G5,-0.012286400134530733,0.09628016367465043,-0.012286400134530733,1.0164631801031034,False,True,False,True,False,False,False,True,insig.neg
F2RL3,0.6189567548807019,1.2106920064477965e-67,0.6189567548807019,66.9169663249929,True,False,True,False,True,False,False,False,sig.pos
